Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7534246575342466,0.6938775510204082
5,1,0.7534246575342466,0.6938775510204082
7,1,0.7534246575342466,0.6938775510204082
9,1,0.7534246575342466,0.6938775510204082
3,10,0.7671232876712328,0.6938775510204082
5,10,0.7671232876712328,0.6938775510204082
7,10,0.7671232876712328,0.6938775510204082
9,10,0.7671232876712328,0.6938775510204082
3,100,0.773972602739726,0.6938775510204082
5,100,0.773972602739726,0.6938775510204082
7,100,0.773972602739726,0.6938775510204082
9,100,0.773972602739726,0.6938775510204082
